,path,query,alt,src
0,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/four fingers/fourfingers0.jpeg,four fingers,104 Hand Holding Up Four Fingers Stock Photos - Free & Royalty-Free Stock  Photos from Dreamstime,https://thumbs.dreamstime.com/b/male-hand-holding-up-four-fingers-white-background-room-copy-space-male-hand-holding-up-four-fingers-white-background-143489196.jpg
1,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/four fingers/fourfingers1.png,four fingers,"Four Finger Hand PNG Image - PurePNG | Free transparent CC0 PNG Image  Library | Finger hands, Finger image, Finger",https://i.pinimg.com/originals/a6/a3/a2/a6a3a2c4e98392dca3f5c025d76e1f20.png
2,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/palms out/palmsout0.jpeg,palms out,How to use Hands and Palms to Communicate Better | by Kunal Yadav | Medium,https://miro.medium.com/v2/resize:fit:1400/1*_o5yPMOaA_oPc_I-q2cWmA.jpeg
3,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/four fingers/fourfingers2.jpeg,four fingers,"Four Fingers"" Images – Browse 2,373 Stock Photos, Vectors, and Video |  Adobe Stock",https://t3.ftcdn.net/jpg/03/82/56/52/360_F_382565228_PuXd0Avrqo6A8eYWgyXXz6nuNC0gxM7C.jpg
4,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/four fingers/fourfingers3.jpeg,four fingers,Four fingers up hi-res stock photography and images - Alamy,https://c8.alamy.com/comp/PRA19N/boy-raising-four-fingers-up-on-hand-on-white-background-PRA19N.jpg
5,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/four fingers/fourfingers4.jpeg,four fingers,"Four Fingers Stock Illustrations – 1,617 Four Fingers Stock Illustrations,  Vectors & Clipart - Dreamstime",https://thumbs.dreamstime.com/b/human-cartoon-hand-showing-four-fingers-number-87864701.jpg
6,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/palms out/palmsout1.jpeg,palms out,The Blessing of Open Hands — GirlFriendCircles | Shasta Nelson,https://static1.squarespace.com/static/57604caed210b88aaca855c6/5966682f5a655b211221795b/59666aa45a655b211221def0/1499884196301/P1010322.jpg?format=original
7,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/two fingers/twofingers0.jpeg,two fingers,"Human Cartoon Hand Showing Two Fingers Stock Vector - Illustration of hand,  cartoon: 87864801",https://thumbs.dreamstime.com/z/human-cartoon-hand-showing-two-fingers-peace-symbol-87864801.jpg
8,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/four fingers/fourfingers5.jpeg,four fingers,Four fingers up hand gesture icon image Royalty Free Vector,https://cdn1.vectorstock.com/i/1000x1000/64/55/four-fingers-up-hand-gesture-icon-image-vector-19526455.jpg
9,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/fist/fist0.jpeg,fist,Fist Svg Clenched Fist Svg Raised Fist Svg Vector Cut File - Etsy,https://i.etsystatic.com/22467704/r/il/1d29b1/2657274262/il_1080xN.2657274262_a743.jpg
10,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/palms out/palmsout2.jpeg,palms out,"Hands. Two hands with palms up #Sponsored , #Paid, #Ad, #hands, #palms,  #Hands | Stock photography free, Stock photos, Stock images free",https://i.pinimg.com/736x/3d/7f/59/3d7f59790bc36955ca62267e78df69a4.jpg
11,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/four fingers/fourfingers6.jpeg,four fingers,"4 Fingers Images – Browse 164,098 Stock Photos, Vectors, and Video | Adobe  Stock",https://t3.ftcdn.net/jpg/01/38/28/20/360_F_138282062_YNQjdrpasQshavElKtLcsdVn0ToR8ERW.jpg
12,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/fist/fist1.jpeg,fist,fist front side of man hand isolated on white background. punching  something. Stock Photo | Adobe Stock,https://as2.ftcdn.net/v2/jpg/05/10/74/73/1000_F_510747386_bfyQTowfiPdeNy254lhVUjMAooyiEo14.jpg
13,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/four fingers/fourfingers7.jpeg,four fingers,"Hand Sign Of Number Four Stock Photo - Download Image Now - Four Fingers,  Pointing, Showing - iStock",https://media.istockphoto.com/id/507716828/photo/hand-sign-of-number-four.jpg?s=612x612&w=0&k=20&c=r02a4tROCeqkL4MNWdvqewpyw20P0XEMKzib0jlqF38=
14,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/four fingers/fourfingers8.jpeg,four fingers,"A female hand holding four fingers up, with the fingers spread wide apart.  With clipping path Stock Photo - Alamy",https://c8.alamy.com/comp/WX4R4R/a-female-hand-holding-four-fingers-up-with-the-fingers-spread-wide-apart-with-clipping-path-WX4R4R.jpg
15,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/fist/fist2.jpeg,fist,"Fist Icon Stock Illustrations – 46,201 Fist Icon Stock Illustrations,  Vectors & Clipart - Dreamstime",https://thumbs.dreamstime.com/b/fist-icon-vector-illustration-55195634.jpg
16,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/palms out/palmsout3.jpeg,palms out,How to use Hands and Palms to Communicate Better | by Kunal Yadav | Medium,https://miro.medium.com/v2/resize:fit:4800/1*gFnAfGnnHw6DW4j_h6cNCA.jpeg
